Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova,octagons
Skippy Peanut Butter Creamy,3g,16g,0.15g,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods,1
Zesta Smooth Peanut Butter,1g,7g,0.003g,PEANUT BUTTER,PEANUT BUTTER,Processed foods,0
Skippy Chunky Peanut Butter,4g,15g,0.125g,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods,1
Peptang Healthy Creamy Peanut Butter,3g,16g,0.144g,PEANUT BUTTER,PEANUT BUTTER,Processed foods,1
ZESTA CRUNCHY PEANUT BUTTER,,,,PEANUT BUTTER,PEANUT BUTTER,Processed foods,0
Peptang Healthy No Added Sugar Peanut Butter,4g,50g,,PEANUT BUTTER,PEANUT BUTTER,Processed foods,1
Nut Gold Crunchy Peanut Butter,9g,51g,0.35g,PEANUT BUTTER,PEANUT BUTTER,Processed foods,3
Peptang Healthy Crunchy Peanut Butter,9g,51g,0.35g,PEANUT BUTTER,PEANUT BUTTER,Processed foods,3
Lotus Biscoff Spread Cookie Butter,36.8g,38.1g,0.216g,JAM/OTHER SPREADS,COOKIE BUTTER SPREAD,Ultra-processed foods,2
Crunchy Peanut Butter Sugar Free,3g,49g,0.025g,PEANUT BUTTER,PEANUT BUTTER,Processed foods,1
Sugar Free Smooth Peanut Butter,,54.4g,0.0019g,PEANUT BUTTER,PEANUT BUTTER,Processed foods,1
NUT GOLD PEANUT BUTTER CREAMY,,,,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods,0
Dairyland Hazelnut Chocolate Bar,27.5g,17.5g,0.2g,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Dairyland Milk With Cookies Chocolate Bar,10g,10g,0.03g,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Dairyland Orange Crunch Chocolate Bar,51.4g,35.3g,,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Dairyland White With Cookies Chocolate Bar,48g,32g,0.146g,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Dairyland Salted Caramel Chocolate Bar,48g,24g,,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Dairyland Dark Milk Chocolate Bar,48.5g,36.5g,0.065g,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Dairyland Real Milk Chocolate Bar,57.3g,28.9g,0.156g,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Dairyland Almond And Raisin Chocolate Bar,41.4g,33.6g,0.095g,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Reflexx Caramel Filled With Coconut Eclairs Toffee,16.4g,5.5g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Reflexx Caramel Filled With Coffee Eclairs Toffee,49g,0.4g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Reflexx Caramel Filled With Creamy Milk Eclairs Toffee,0g,0.3g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
Cadbury P S Caramilk Chocolate Bar,56.5g,26g,0.127g,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Dairyland Orange Crunch Chocolate,44g,34g,0.000008g,CHOCOLATE,CHOCOLATE,Ultra-processed foods,2
Cadbury Dairy Milk Astros Choc,,,,CHOCOLATE,CHOCOLATE,Ultra-processed foods,0
CADBURY DAIRY MILK CARAM CHOC,,,,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,0
Reflexx Eclairs Caramel,16.4g,5.5g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Cadbury Dairy Milk Oreo Chocolate Bar,48.5g,35g,,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Rose Candy Toilet Chocolate,68.4g,1g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Candy Castle Crew Rose Triple Dipper Candy,93g,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Cadbury Flake Milk Chocolate,59g,27g,,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,2
Cadbury Dairy Milk Button Choco,,,,CHOCOLATE,CHOCOLATE,Ultra-processed foods,0
Rolo Little Pouch Bag,60.1g,23.7g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,2
Munchies Cookie Dough Pouch,,,,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods,0
Cadbury Wispa,,,,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,0
Vanini Hezelnuts Caramel Salt 62 Chocolate,,,,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,0
Nestle Tola Miniatures,,,,CHOCOLATE,CHOCOLATE,Ultra-processed foods,0
Hamlet Excelcium Gpraline Asso,48g,20g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,2
HAMLET CHOCOLATE IMAGE LINE RED,54g,30g,,CHOCOLATE,CHOCOLATE,Ultra-processed foods,2
Lindt Swiss Premium Assorted Napolitains Dark Chocolate,50g,36g,0.064g,CHOCOLATE,CHOCOLATE,Ultra-processed foods,2
Clovers Vanilla Essence,,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Ultra-processed foods,0
Zesta Vanilla Essence Clear,,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Zesta Vanilla Essence,,,,BAKING ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Vanilla Essence,,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Clear Vanilla Essence,,,,BAKING ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Food Colour Orange,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Orange Essence,15g,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,1
Santa Maria Blue Food Colour,14g,,0.003g,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,1
Festival Choco Vanilla Essence,,,,BAKING ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Strawberry Essence,,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Lemon and Lime Essence,,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Liquid Food Color Golden Yellow,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Food Colour Egg Yellow,1g,3g,0.029g,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Santa Maria Orange Food Colour,12g,0.2g,0.013g,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,1
FESTIVAL FOOD COLOUR SBERRY RED,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Coconut Essence,,,0.085g,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Orange Essence,15g,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,1
Festival Food Colour Green,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Red Food Colour,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Chocolate Essence,,,0.18g,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Food Colour Pink,8g,6g,0.065g,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,1
Festival Food Colouring Strawberry Red,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Food Colour Powder Bright Red,,11g,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,1
Festival Food Colour Black,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Raspberry Essence,,,,BAKING ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
FESTIVAL FOOD COLOUR PURPLE,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Santa Maria Strawberry Essence,,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Black Food Colour Powder,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Santa Maria Chocolate Essence,,,0.18g,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Pineapple Essence,1g,,,BAKING ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Food Colour Powder Pink,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Santa Maria Rose Pink Food Colour,,,0.016g,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Purple Food Colour Powder,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Liquid Food Colour Raspberry Red,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Food Colour Tomato Red,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Food Colour Powder Egg Yellow,47g,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,1
Clovers Bright Golden Food Colour Powder,0g,0g,0g,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Food Colour Maroon,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Clear Vanilla Essence,,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Chocolate Essence,,,0.18g,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Top Lure Clear Vanilla Essence,0g,0g,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Clovers Strawberry Essence,,,,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Processed Culinary Ingredients,0
Festival Food Colour Raspberry Red,10g,,0.005g,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,1
Festival Food Colour Chocolate Brown,,,,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Processed Culinary Ingredients,0
