Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova,octagons
Ragu Old World Style Marinara Sauce,,1g,0.27g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,1
LAZIZA TOMATO PUREE SACHET,,,,TOMATO PASTE,TOMATO PASTE,Processed foods,0
Kaputei Mushroom Pasta Sauce,7g,2g,0.43g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,2
Kaputei Lasagna Sauce,8g,4g,0.45g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,2
Kaputei Basil Pasta Sauce,5g,2g,0.05g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,1
Kaputei Spaghetti Sauce,10g,2g,0.67g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,2
Sacla Intenso Tomato And Chilli Sauce,8g,22.7g,,COOKING SAUCES,TOMATO SAUCE,Ultra-processed foods,2
Bertolli Garlic Marinara,,,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Kaputei Pasta Cheese,,,,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Bertolli Five Cheese Sauce,,,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Kaputei Hot Pasta Sauce,5g,3g,0.84g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,2
Bertolli Rustic Cut Sweet Pepper With Mushroom,,,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Bertolli Olive Oil Basil Garlic,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
De Cecco Alla Arrabbiata Sauce,5.6g,2.8g,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,1
Bertolli Organic Tomatobasil,,,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Kenylon Tomato Paste,10.9g,0.21g,0.25g,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Aryuva Tomato Paste Pouch,,,,TOMATO PASTE,TOMATO PASTE,Processed foods,0
Peptang Tomato Paste,,0.3g,0.63g,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Heinz Tomato Paste,4g,,0.025g,TOMATO PASTE,TOMATO PASTE,Processed foods,0
Santa Maria Double Concentrated Tomato Paste,8g,,,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Aryuva Double Concentrated Tomato Paste,1.18g,0.25g,,TOMATO PASTE,TOMATO PASTE,Processed foods,0
KENYLON TOMATO PASTE SACHETS,,,,TOMATO PASTE,TOMATO PASTE,Processed foods,0
Supercirio Tomato Puree Can,4g,,0.02g,TOMATO PASTE,TOMATO PASTE,Processed foods,0
Clovers Double Concentrated Tomato Paste,20g,3g,0.96g,TOMATO PASTE,TOMATO PASTE,Processed foods,2
Santa Maria Tomato Paste,10.41g,0.47g,0.098g,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Carrefour Tomato Paste,13g,,0.82g,TOMATO PASTE,TOMATO PASTE,Processed foods,2
Miyata Bio Organic Miso Aka Paste,,5g,3.722g,COOKING SAUCES,MISO PASTE,Ultra-processed foods,1
Royale Garden Tomato Paste,0g,20g,,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Wow Tomato Paste,10.9g,0.21g,0.25g,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Kenzy Tomato Paste,,,,TOMATO PASTE,TOMATO PASTE,Processed foods,0
Carrefour Tomato Puree,5g,0g,,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Sacla Intenso Tomato And Olive Pasta Sauce,2.7g,18.7g,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,1
Clovers Tomato Paste,,,,TOMATO PASTE,TOMATO PASTE,Processed foods,0
KOL Tomato Sauce,2g,1g,,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods,0
Gilda Tomato Paste,10.9g,0.21g,0.00025g,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Kol Tomato Paste,17g,,0.547g,TOMATO PASTE,TOMATO PASTE,Processed foods,2
FARAGELLO PURE SACHECT TOM PAST,27g,,,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Tamtam Tomato Paste,,,0.53g,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Clovers Tomato Paste In Tin,20g,3g,960g,TOMATO PASTE,TOMATO PASTE,Processed foods,2
Cirio Passata Rustica Crushed Tomatoes,4g,,0.02g,TOMATO PASTE,TOMATOES,Processed foods,0
FARAGELLO TOMATO PASTE,27g,,,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Wadi Foods Tomato Paste,,,,TOMATO PASTE,TOMATO PASTE,Processed foods,0
Pureto Tomato Paste,22g,,,TOMATO PASTE,TOMATO PASTE,Processed foods,1
Sacla Oven Roasted Tomato Sauce,4.7g,16g,0g,COOKING SAUCES,TOMATO SAUCE,Processed foods,1
Kenzy Tomato Paste Cans,,,,TOMATO PASTE,TOMATO PASTE,Processed foods,0
HOSEN WHOLE PEELED TOMATOES,3g,,,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods,0
Chain Two Dark Soy Sauce,24.8g,0.1g,,TABLE SAUCES,SOY SAUCE,Processed foods,1
Zesta Dark Soy Sauce,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Chain Kwo Superior Dark Soya Sauce,,,0.909g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Aryuva Premium Light Soy Sauce,9g,0g,6.026g,TABLE SAUCES,SOY SAUCE,Processed foods,2
Chain Kwo Superior Light Soya Sauce,,,0.73g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Chain Kwo Mushroom Dark Soya Sauce,,,1.28g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Zesta Light Soy Sauce,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Kikkoman Sushi Sashimi Soy,7.1g,,,TABLE SAUCES,SOY SAUCE,Processed foods,1
Royale Garden Premium Light Soy Sauce,1.2g,0g,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Kikkoman Soy Sauce,1.9g,0g,0.971g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Kikkoman Sachet Soy Sauce,3g,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Virginia Garden Dark Soy Sauce,22g,0g,7.8g,TABLE SAUCES,SOY SAUCE,Processed foods,2
Arpo Superior Light Soy Sauce,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Santa Maria Superior Light Soya Sauce,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Jade Bridge Superior Dark Soy Sauce,0.1g,0.1g,0.879g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Chain Kwo Naturally Brewed Soya Sauce,,,0.719g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Jade Bridge Super Light Soya Sauce,,,6.7g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Arpo Superiorlight Soysauce,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Royale Garden Superior Dark Soya Sauce,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Chef King Superior Light Soya Sauce,,,6.477g,TABLE SAUCES,SOY SAUCE,Processed foods,1
ARYUVA PREMIUM DARK SOY SAUCE,22g,0g,7.8g,TABLE SAUCES,SOY SAUCE,Processed foods,2
Santa Maria Superior Dark Soy Sauce,3g,0g,0.022g,TABLE SAUCES,SOY SAUCE,Processed foods,0
Kikkoman Naturally Brewed Soy Sauce,1.9g,0g,0.971g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Kikkoman Tamari Gluten Free Soy Sauce,0g,0g,,TABLE SAUCES,SOY SAUCE,Processed foods,0
CHAIN KWO SWEET CHILI SAUCE,0g,0g,0g,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods,0
Arpo Superior Dark Soysauce,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Royale Whole Mushroom,,,0.28g,VEGETABLES,BROCCOLI,Unprocessed/Minimally processed foods,1
Royale G Premium Dark Soya Sa,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
Santa Maria S Light Soy Sauce1.9L,,,,TABLE SAUCES,SOY SAUCE,Processed foods,0
CIRIO PESTO SAUCE PREMIUM,1.9g,41g,,COOKING SAUCES,PESTO,Ultra-processed foods,1
Miyata Teriyaki Sauce,27g,0.5g,,COOKING SAUCES,TERIYAKI/MIRIN,Ultra-processed foods,1
Chain Kwo Pure Sesame Oil,,90.5g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Chain Kwo Sweet And Sour Sauce,33g,0.3g,,COOKING SAUCES,STIR FRY/ASIAN SAUCE,Ultra-processed foods,1
Sharwood Korma Sauce,6g,5.9g,,COOKING SAUCES,CURRY SAUCE/PASTE,Ultra-processed foods,1
Chain Kwo Oyster Sauce,19.1g,,1.8g,COOKING SAUCES,OYSTER SAUCE,Ultra-processed foods,2
Carrefour Tomato Olive Cooking Sauce,5.7g,2.1g,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,1
Zesta Gravy Browning,2.4g,0.4g,0g,COOKING SAUCES,GRAVY,Ultra-processed foods,0
Carrefour Mushroom Forest Tomato Cooking Sauce,4.5g,3.6g,0.43g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,1
Sharwood Tikka Masala Sauce,6g,8g,,COOKING SAUCES,CURRY SAUCE/PASTE,Ultra-processed foods,2
Suree Fish Sauce,,,,COOKING SAUCES,FISH SAUCE,Ultra-processed foods,0
Suree Hoisin Sauce,49.7g,2.6g,0.007g,COOKING SAUCES,HOISIN SAUCE,Ultra-processed foods,1
Suree Sweet Soy Sauce,69g,0.5g,2.6g,TABLE SAUCES,SOY SAUCE,Processed foods,2
Carrefour Basil Tomato Cooking Sauce,5.5g,1.5g,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,1
Carrefour Arabiata Pasta Sauce,5g,1g,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,1
Royal Umbrella Oyster Sauce,,,,COOKING SAUCES,OYSTER SAUCE,Ultra-processed foods,0
Le Phare Du Cap Bon Harissa Red Chilli Hot Sauce Tunisie,4.5g,2.25g,,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods,0
Sharwood Sweet Chilli Red Pepper,,,,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods,0
Sharwood Jalfrezi Sauce,,,,COOKING SAUCES,CURRY SAUCE/PASTE,Ultra-processed foods,0
Sharwood Rogan Josh,,,,COOKING SAUCES,CURRY SAUCE/PASTE,Ultra-processed foods,0
Kaputei Basil Pesto Pasta Sauce,,,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Kaputei Rocket Pesto,,,,COOKING SAUCES,PESTO,Ultra-processed foods,0
Kaputei Coriander Pesto,,,,COOKING SAUCES,PESTO,Ultra-processed foods,0
PIETRO RED PESTO SAUCE,,,,COOKING SAUCES,PESTO,Ultra-processed foods,0
SACLA WILD ROCKET PESTO,,,,COOKING SAUCES,PESTO,Ultra-processed foods,0
Patak S Bhuna Sauce,,,,COOKING SAUCES,CURRY SAUCE/PASTE,Ultra-processed foods,0
SACLA CLASSIC BASIL PESTO,,,,COOKING SAUCES,PESTO,Ultra-processed foods,0
Sacla Italia Sun Dried Tomato Pesto,,,,COOKING SAUCES,PESTO,Ultra-processed foods,0
Pietro Coricelli Pesto Sauce,,,,COOKING SAUCES,PESTO,Ultra-processed foods,0
De Cecco Alla Genovese Pesto,,,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Patak S Brinjal Pickle,,,,TABLE SAUCES,PICKLE,Ultra-processed foods,0
Kaputei Pizza Sauce,4g,1g,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Ntamu Traditional Pizza Sauce,4g,1g,0g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Kaputei Hot Pizza Sauce,2g,1g,0.25g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Ragu Homemade Style Pizza Sauce,3g,1g,0.25g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Cirio Pizza Sauce,6.3g,2.3g,0.36g,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,2
Safir Pizza Sauce,,,,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,0
Stokes Real Brown Sauce,38g,,,TABLE SAUCES,BROWN/WORCESTERSHIRE SAUCE,Ultra-processed foods,1
Stokes Real Brown Sauce Squeezy,38g,,,TABLE SAUCES,BROWN/WORCESTERSHIRE SAUCE,Ultra-processed foods,1
Golden Fry Vegetable Cooking Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Rina Vegetable Cooking Oil,,14g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Fresh Fri Vegetable Oil,,,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,0
Fresh Fri Vegetable Cooking Oil,,,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,0
Avena Vegetable Oil,,97.54g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Pika Pure Vegetable Oil,0g,14g,0g,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Ufuta Pure Vegetable Cooking Oil,,14g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Rina Vegetable Oil,,14g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Carrefour M Vegetable Oil,,97g,15.5g,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,2
Pika Vegetable Oil,,14g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Master Chef Premium Vegetable Cooking Oil,,,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,0
Goldn Pure Soya Gold Soybean Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Bahari Fry Vegetable Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Dola Vegetable Cooking Oil,14g,,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Tilly Cooking Fat,,14g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,1
Terra Delyssa Extra Virgin Olive Oil,0g,91.2g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Santa Maria Extra Virgin Olive Oil,,100g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
ALLEGRO EXTRA VIRGIN OLIVE OIL,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Borges Extra Virgin Olive Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Pietro Coricelli Extra Virgin Olive Oil,,91.3g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Olivia Extra Virgin Olive Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Terra Delyssa Organic Extra Virgin Olive Oil,0g,100g,0.002g,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Nuttishland Extra Virgin Macadamia Oil,,91g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Bulla Regia Extra Virgin Olive Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Elmerro Spain Extra Virgin Olive Oil,,,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,0
Al Jazira Extra Virgin Olive Oil,,100g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Elmerro Spain Virgin Olive Oil,,,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,0
Raffel Salgado E V Olive Oil,,100g,0g,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
BULLA REGIA OLIVE OIL,,14g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Rafael Salgado Extra Virgin Olive Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Eva Olive Oil Pomace Spanish,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Santa Maria Evirgin Olive Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Eva Olive Oil Virgin Turkish,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Elmerro Spain Virgin Olve Oil,,,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,0
Brookside Superfine Ghee,,99.8g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,1
Tuzo Everfresh Pure Ghee,,99.92g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,1
Bidco Kimbo Cooking Vegetable Fat,,,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,0
Bidco Chipsy Pure Yellow Vegetable Cooking Fat,,14g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,1
Tilly Pure White Cooking Fat,,14g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,1
Kasuku Pure White Cooking Fat,,,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,0
Kasuku Fortified Edible Vegetable Cooking Fat,,12.7g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,1
Kentaste Coconut Oil,0g,14g,0g,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Nuttishland Macadamia Vegetable Oil,0g,100g,0g,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Pure Nature Sesame Oil,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Pure Nature Dark Roasted Sesame Oil,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Chef King Blended Sesame Oil,0g,91g,0g,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Pure Mountain Canola Oil Chilli,0g,91g,0g,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Soya Gold Soybean Oil,,60g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Pure Mountain Canola Oil Herb,,91.2g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Arpo Blended Sesame Oil,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Pure Nature Mild Roasted Sesame Oil,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Rinsun Sunflower Oil,,99.9g,,COOKING OIL,SUNFLOWER OIL,Processed Culinary Ingredients,1
Flora Frying Solution Cooking Oil,,13g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Natural Health Cold Pressed Extra Virgin Pure Sunflower Oil,,,,COOKING OIL,SUNFLOWER OIL,Processed Culinary Ingredients,0
Rinsun 100 Sunflower Oil,,99.9g,,COOKING OIL,SUNFLOWER OIL,Processed Culinary Ingredients,1
Flora Sunflower Cooking Oil,,,,COOKING OIL,SUNFLOWER OIL,Processed Culinary Ingredients,0
Sun Days Refined Sunflower Oil,,99.99g,,COOKING OIL,SUNFLOWER OIL,Processed Culinary Ingredients,1
Naturals Cold Pressed Extra Virgin Sunflower Oil,,100g,,COOKING OIL,SUNFLOWER OIL,Processed Culinary Ingredients,1
Captain Cook Pure Corn Oil,,13g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Elianto Corn Oil,,100g,,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,1
Kentaste Virgin Coconut Oil,,14g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Sues Organic Raw Virgin Coconut Oil,,1g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Naturalli Coconut Oil,0g,14g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Parachute Coconut Oil,,100g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
Pure Mountain Pure Canola Oil,,100g,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,1
PM Mega Fry Canola Oil,,,,COOKING OIL,COCONUT OIL,Processed Culinary Ingredients,0
Tuzo Ghee,0g,0g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,0
K C C Super Fine Ghee,,15g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,1
Pika Pure Yellow Vegetable Cooking Fat,,14g,,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,1
Miyata Panko Bread Crumbs,7g,18.8g,0.5368g,BAKING ADDITIVES,BAKING POWDER,Processed foods,3
Miyata Sushi Expert Panko Breadcrumbs,5.6g,1.4g,,BAKING ADDITIVES,BAKING POWDER,Processed foods,1
Japanese Maoxin Gold Stamped White Ginger Sour Sweet Sushi,3.5g,9.5g,0.2685g,HERBS AND SPICES,SPICES - GINGER,Unprocessed/Minimally processed foods,2
Qia Qia Original Salted Sunflower Seeds,,51.8g,,SALTED/SUGARED NUTS,SALTED CASHEW NUTS,Processed foods,1
LAOGANMA CHILI PASTE,1.2g,45.6g,0g,COOKING SAUCES,CHILLI PASTE,Processed foods,1
GREENLIFE SANDWICH SEA SEDGE,,5g,,VEGETABLES,SEAWEED,Unprocessed/Minimally processed foods,0
Haday Dark Soya Sauce,8g,,1.64g,TABLE SAUCES,SOY SAUCE,Processed foods,2
Tan Tan Xiang Hunan Chilli Pickle,0g,8g,5g,HERBS AND SPICES,SPICES - CHILLIES,Processed foods,2
Heng Shun Brown Rice Vinegar,9g,,0.024g,COOKING SAUCES,VINEGAR,Processed Culinary Ingredients,1
Qia Qia Roasted Sunflower Seeds,2.1g,51.8g,,SALTED/SUGARED NUTS,SALTED CASHEW NUTS,Processed foods,1
Laoganma Chicken Chilli Oil With Tofu Pickle,3.4g,59.3g,,COOKING SAUCES,CHILLI OIL,Ultra-processed foods,1
Lee Kum Kee Kum Chun Soy Sauce,0g,0g,1.21g,TABLE SAUCES,SOY SAUCE,Processed foods,1
Master Kang Hot Beef Noodle,,15g,0.718g,NOODLES,NOODLES,Ultra-processed foods,2
Beauideal Shanghai White Vinegar,,,,TABLE SAUCES,VINEGAR,Processed Culinary Ingredients,0
Wang Shou Yi Thirteen Mixed Spice,14.9g,8.4g,,HERBS AND SPICES,SPICES - MIXED SPICES,Unprocessed/Minimally processed foods,2
FENG QUI MAI FISH SAUCE,,,,COOKING SAUCES,FISH SAUCE,Ultra-processed foods,0
Wang Wang Sweet Rice Biscuit,,1g,0.027g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Qia Qia Caramel Sunflower Seeds,,4g,,SALTED/SUGARED NUTS,SALTED CASHEW NUTS,Processed foods,0
Sanwu Hotpot Soup Base,1g,80g,0g,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR MIXES,Ultra-processed foods,1
Ducks Fly Soaked Duck Feet,,,,POULTRY,CHICKEN,Unprocessed/Minimally processed foods,0
Qia Qia Sunflower Seeds,4.2g,50.2g,,SWEET AND SAVOURY SNACKS,BHUSU MIX,Unprocessed/Minimally processed foods,1
CHINESE CANNED FISH,0g,48.9g,,PROCESSED FISH,CANNED TUNA,Processed foods,1
CHEN KE MING DRIED SPAGHETTI,0g,1g,0.29g,PASTAS,PASTA - SPAGHETTI,Processed foods,1
Silly Brother Garlic Peanuts,1g,13g,0.12g,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods,1
Master Kang Iced Pear Tea Drink,2.8g,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,0
Totole Golden Bouillon Chicken Stock Cubes Granulated,,1g,,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR CHICKEN CUBES,Ultra-processed foods,0
Hengshun Balsamic Vinegar,8.2g,,0.215g,TABLE SAUCES,VINEGAR,Processed Culinary Ingredients,1
Xu Fu Ji Strawberry Roll Cookie,39.2g,27.5g,,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods,2
Wang Wang Milk Drink,13g,5.9g,,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods,1
HADAY GARLIC PASTE,,0g,0.785g,HERBS AND SPICES,SPICES - GARLIC,Processed foods,1
Master Kang Green Tea,4.2g,0g,0g,TEA,GREEN TEA,Unprocessed/Minimally processed foods,0
Yeshu Coconut Milk Drink,18g,5g,0.033g,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods,1
KUISHU RICE VERMICELLI,3g,1g,0.049g,PASTAS,OTHER PASTA SHAPES,Processed foods,0
Qiaqia Barbecue Crunchy Potato Crisps,3g,27g,0.307g,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,2
HAILONG SWEET POTATO NOODLES,,3g,,NOODLES,NOODLES,Processed foods,0
HADAY FISH SOY SAUCE,15.8g,0g,,TABLE SAUCES,SOY SAUCE,Processed foods,1
JIANGMEN RICE STICKS,0g,0.8g,0.02g,PASTAS,NOODLES,Processed foods,0
Xu Fu Ji Caramel Egg Sachima,16.4g,28.8g,0.28g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,3
Sha Er Ge Hot And Spicy Black Rice Crust,,46g,,SWEET AND SAVOURY SNACKS,BHUSU MIX,Ultra-processed foods,1
Quick Fried Chilli Green Peas,3g,12g,0.51g,"PULSES - PEAS, LENTILS, BEANS",FRIED PEAS,Processed foods,2
Fish Well Preserved Vegetable Pickled Mustard,1g,1g,0.7g,VEGETABLES,BROCCOLI,Processed foods,1
Lay s Stax Original Potato Chips,,8g,0.14g,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,1
LONG KOU GREEN BEAN VERMICELLI,,,,NOODLES,NOODLES,Processed foods,0
Wu Jiang Preserved Vegetable,0g,2g,1.02g,VEGETABLES,BROCCOLI,Processed foods,1
Hsufuchi Sachima Flour Cake With Egg,22.2g,28.8g,,CAKES,CAKES,Ultra-processed foods,2
Yin Lu Purple Sweet Potato And Purple Glutinous Rice Soup Mix,6.5g,2.5g,,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR MIXES,Ultra-processed foods,1
Yinlu Peanut Milk Protein Drink,6.5g,2.5g,,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods,1
Chuangyi Original Dried Shredded Squid,10g,0g,0.54g,PROCESSED FISH,CANNED TUNA,Processed foods,2
SHA ER GE Hot And Spicy Rice Crust Chips,3g,8g,0.145g,SWEET AND SAVOURY SNACKS,BHUSU MIX,Ultra-processed foods,1
Liwei Cracker,,3g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
Qia Qia Hickory Nut Flavour Sunflower Seeds Snacks,2g,49g,0g,SALTED/SUGARED NUTS,SALTED CASHEW NUTS,Processed foods,1
Totole Tiaanwang Chicken Seasoning,0g,0g,0.32g,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR CHICKEN MIXES,Ultra-processed foods,1
Xinfa Sweet Potato Vermicelli Noodles,0g,0g,,NOODLES,NOODLES,Processed foods,0
Wangwang Chinese Rice Cracker Cookies,0g,21g,0.75g,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods,2
GUAI XI FU Pepper Chicken Feet,,8.1g,1.8g,POULTRY GIBLETS,CHICKEN GIBLETS,Processed foods,2
Master Kang Beef With Cabbage Pickled Instant Noodle,,41.3g,,NOODLES,NOODLES,Ultra-processed foods,1
Wang Lao Ji Herbal Tea Drink,5.59g,0.9g,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,1
Wang Wang Sweet Milk Creamy Chewy Candy,0g,10.8g,0.18g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Chuang Yi Pai Spicy Dried Cuttlefish,0g,1g,0.455g,PROCESSED FISH,CANNED TUNA,Processed foods,1
