Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
Stinging nettle leaves steamed (without salt),VEGETABLES,STINGING NETTLE (THABAI),Unprocessed/Minimally processed foods,false,
Stir Fried Beef,PROCESSED MEAT,BEEF,Processed foods,false,
Stir fried Cabbage,VEGETABLES,CABBAGE,Processed foods,false,
Stir Fried Goat Meat,PROCESSED MEAT,GOAT,Processed foods,false,
Stir fried Spinach,VEGETABLES,SPINACH,Processed foods,false,
Strawberry raw,FRUITS,BERRIES,Unprocessed/Minimally processed foods,false,
Sugar white granulated or lump,SUGAR,WHITE SUGAR,Processed Culinary Ingredients,false,
Sugarcane Juice Raw,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods,false,
Sukumawiki,VEGETABLES,KALES (SUKUMA WIKI),Unprocessed/Minimally processed foods,false,
Sun flower oil,COOKING OIL,SUNFLOWER OIL,Processed Culinary Ingredients,false,
Sweet Potato (Leaves),ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods,false,
Sweet potato brown skin peeled boiled drained (without salt),ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods,false,
Sweet potato brown skin peeled raw,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods,false,
Sweet potato pink skin,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods,false,
Sweet potato pink skin boiled drained (without salt),ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods,false,
Sweet Potatoes with Peanut Butter,ROOT VEGETABLES,SWEET POTATO,Processed foods,false,
Sweetpotato orange biofortified boiled drained (without salt),ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods,false,
Sweetpotato orange biofortified raw,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods,false,
Tamarind fruit dry raw,FRUITS,TAMARIND,Unprocessed/Minimally processed foods,false,
Tamarind fruit fresh raw,FRUITS,TAMARIND,Unprocessed/Minimally processed foods,false,
Tangerine juice non commercial,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods,false,
Tangerine pulp raw,FRUITS,ORANGES,Unprocessed/Minimally processed foods,false,
Taro peeled raw,ROOT VEGETABLES,TARO,Unprocessed/Minimally processed foods,false,
Tea chai instant dry powder,TEA,TEA - UNSWEETENED WITHOUT MILK,Processed foods,false,
Teff raw,CEREAL GRAINS,TEFF,Unprocessed/Minimally processed foods,false,
Termite Dry Raw,EDIBLE INSECTS,TERMITES,Unprocessed/Minimally processed foods,false,
Termite Fresh Raw,EDIBLE INSECTS,TERMITES,Unprocessed/Minimally processed foods,false,
Thabai Thaa (Stinging Nettle),VEGETABLES,STINGING NETTLE (THABAI),Unprocessed/Minimally processed foods,false,
Tomato canned whole contents,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods,false,
Tomato green boiled drained (without salt),VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods,false,
Tomato green raw,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods,false,
Tomato paste with added salt,TOMATO PASTE,TOMATO PASTE,Processed foods,false,
Tomato red ripe boiled drained (without salt),VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods,false,
Tomato red ripe raw,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods,false,
Tomato sauce (Ketchup),TABLE SAUCES,TOMATO KETCHUP,Ultra-processed foods,false,
