Food name,Energy(kJ),Energy(kcal) ,Water(g),Protein(g),Fat(g),Carbohydrate available(g) ,Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin(mg) ,Riboflavin(mg) ,Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12(mcg) ,Vit C(mg),Cholesterol (mg),Oxalic acid OXALAC(mg),Phytate(mg) ,IP3 (mg),IP4 (mg),IP5 (mg),IP6 (mg),Isoleucin(mg),Leucine(mg),Lysine(mg),Methionine(mg),Cystine(mg),Phenylalanine(mg),Tyrosine(mg),Threonine(mg),Tryptophan(mg),Valine(mg),Arginine(mg),Histidine(mg),Alanine(mg),Aspartic acid(mg),Glutamic acid(mg),Glycine(mg),Proline(mg),Serine(mg),"Fatty acids, total (standardized)","Fatty acids, total, own calculation (g)_own","Fatty acids, total (from source)(g)_from source",Sum of individual FA(g)(standardized),"fatty acids, total saturated (standardized)","fatty acids, total monounsaturated (standardized)(g)","fatty acids, total polyunsaturated (standardized)(g)","fatty acids, total trans (standardized)(g)","other fatty acids, not specifiied (standardized)","fatty acids, total saturated (own calculation)","fatty acids, total monounsaturated (own calculation)","fatty acids, total polyunsaturated (own calculation)","fatty acids, total trans (own calculation)","other fatty acids, not specifiied (own calculation)","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated","fatty acids, total trans (from source)","other fatty acids, not specifiied (from source)","Sum of polyunsaturated FA, n-3 (standardized)","Sum of polyunsaturated FA, n-6 (standardized)"
"Papaya, yellow skin, peeled, raw",153,36,89.8,0.6,0.3,6.8,2.1,0.5,21,0.6,28,17,140,4,0.2,0,85,170,0,1018,0.04,0.03,0.3,37,37,0,51,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Passion fruit, dark purple skin, raw",313,75,75.7,2.4,0.9,8.7,11.7,0.8,10,0.6,28,68,200,19,0.8,1,64,127,0,764,0.03,0.14,2.5,7,7,0,29,0,0,0,0,0,0,0,100,155,110,0,0,235,75,85,0,145,305,0,145,295,530,150,175,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Passion Fruit, juice",408,96,75.5,0.8,0.1,22.9,0.2,0.5,13,0.4,21,20,252,10,0.3,0,45,90,0,538,0.07,0.01,1.5,8,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peach, yellow-fleshed, unpeeled, raw",204,48,86.7,1,0.1,9.9,1.9,0.4,5,0.3,8,20,203,2,0.11,1,13,26,0,157,0.01,0.03,0.8,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pear, unpeeled, raw",200,48,86,0.4,0.2,9.1,4,0.3,8,0.3,7,11,96,1,0.08,0,1,2,0,14,0.03,0.03,0.1,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pineapple, canned in syrup, whole contents",393,93,77,0.3,0.6,21.2,0.7,0.2,4,0.4,11,3,80,6,0,1,1,1,0,8,0.05,0,0,5,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pineapple, raw",172,41,88.6,0.48,0.2,8.1,2.3,0.3,16,0.4,13,8,143,1,0.37,1,3,5,0,31,0.05,0.03,0.12,32,32,0,36.4,0,0,0,0,0,0,0,13,19,19,5,11,12,15,14,5,20,13,7,33,130,72,26,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plum, purple skin, raw",200,47,86.9,0.7,0.1,9.9,2,0.4,10,0.4,7,12,158,1,0.1,0,6,12,0,74,0.04,0.06,0.5,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomegranate, raw",312,74,78.1,1.6,0.2,13.3,6.4,0.4,12,0.8,9,37,172,4,0.4,1,4,9,0,53,0.06,0.06,0.4,38,38,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raspberry, raw",228,54,83.2,1.4,0.2,8.9,5.6,0.7,27,0.8,25,37,156,1,0.32,1,3,5,0,30,0.04,0.03,0.3,34,34,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strawberry, raw",146,35,90,0.7,0.2,6.3,2.5,0.4,19,0.6,8,27,158,3,0.18,1,0,0,0,1,0.03,0.02,0.1,39,39,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tangerine, juice, non-commercial",195,46,88.3,0.6,0.2,10.3,0.2,0.4,12,0.2,11,20,178,1,0.03,0.1,13,25,0,152,0.04,0.03,0.1,21,21,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tangerine, pulp, raw",218,52,86.2,0.87,0.2,10.8,1.5,0.4,26,0,17,17,150,2,0.1,1,1,2,0,10,0.08,0.05,0.3,24,24,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tree tomato, dark red skin, peeled, raw",177,43,85.6,2.1,0.3,4.6,6.5,0.9,56,1,19,51,133,20,0.4,0,45,91,0,546,0.13,0.1,1.6,63,63,0,12.6,0,14,0,0,0,0,0,75,80,105,0,0,70,0,60,0,60,0,0,50,255,905,80,65,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Watermelon, fruit, green with white stripes, raw",112,26,92.9,0.6,0.3,5,0.93,0.3,4,0.7,10,20,88,2,0.21,0,21,41,0,246,0.03,0.04,0.26,16,16,0,11.5,0,0,0,0,0,0,0,19,18,62,6,2,15,12,27,7,16,59,6,17,39,60,10,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zambarau, peeled, raw",252,59,85.3,0.52,0.4,13.5,0,0.4,44,0.5,17,17,72,11,0.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butter (cow milk), no added salt (~80-84% fat)",3020,735,17.2,1.1,81.3,0,0,0.7,15,0,2,20,15,10,0.06,1,845,858,832,153,0,0.05,1.1,6,6,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butter (cow milk), salted (~80% fat)  ",3040,739,15.3,1.1,81.3,0.6,0,1.7,17,0.01,2,16,23,776,0.06,1,845,858,832,153,0,0.05,1.1,6,6,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheese, cheddar, regular fat",1660,401,37,26,32.8,0.4,0,3.8,800,0.3,27,478,73,600,3.55,17,166,174,159,87,0.04,0.5,1.5,52,52,1.9,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheese, cottage (cow milk), plain, skimmed",382,91,79,13.3,2.5,3.8,0,1.5,60,0.1,8,143,123,450,0.24,6,34,37,30,44,0.05,0.2,0.5,3,3,0.6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheese, cottage (cow milk), plain, whole",508,121,75.4,15.4,5.7,2.1,0,1.4,89,0.1,8,143,123,277,0.24,6,35,38,31,44,0.05,0.29,0.5,3,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheese, cottage, Milk, Cow, Sour",515,122,73.6,13.7,4.3,7.2,0,1.2,112,0.7,8,180,104,364,0.4,10,37,38,36,12,0.03,0.27,0.1,12,12,0.43,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cream, pure, 35% fat",943,229,72,2.4,23.6,1.7,0,0.3,39,0.3,4,60,55,40,0,0,174,184,164,118,0.03,0.12,0,64,64,0.2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghee (cow milk),3690,898,0,0.3,99.9,0,0,0.5,2,0.2,0,3,5,2,0.01,1,900,940,860,480,0,0.01,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ice cream, caramel flavour, regular fat",856,205,61.4,3.7,10.6,23.6,0,0.7,93,0.1,12,84,142,48,0.23,1,166,182,150,190,0,0.29,0.7,10,10,0.1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ice cream, chocolate flavour, regular fat",946,226,56.4,4.4,12,24.2,2,1,130,0.9,30,110,245,71,0.6,2,145,147,143,23,0,0.19,0.2,16,16,0.25,0.7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ice cream, strawberry flavour, regular fat",842,201,60.7,3.5,9.5,25.2,0.5,0.7,107,0.2,13,92,165,54,0.29,2,139,155,123,190,0.02,0.27,0.4,11,11,0.2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ice cream, vanilla flavour, regular fat",834,199,62.7,3.9,10.6,22.2,0,0.7,117,0.2,12,84,142,64,0.23,1,166,182,150,190,0,0.25,0.7,10,10,0.1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ice cream, vanilla flavour, with nuts, regular fat",917,219,59.6,4,12.2,23.3,0.2,0.7,92,0.2,15,91,157,47,0.3,1,162,177,146,186,0,0.29,0.7,11,11,0.1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, camel, whole, fresh, raw         ",219,52,89.8,2.2,2.8,4.5,0,0.7,56,1.5,16,92,344,119,0.35,2,15,16,13,18,0.61,0.08,0,8,8,0.6,0,9,0,0,0,0,0,0,142,256,113,78,28,99,83,90,55,188,73,66,80,113,384,41,263,87,2.69,0,0,2.69,1.57,0.89,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,0.05,0.09
"Milk, camel, whole, fresh, boiled",257,62,88,2.6,3.3,5.3,0,0.8,66,1.7,18,108,404,140,0.41,2,16,16,16,0,0.65,0.09,0,8,8,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, cow, condensed, skimmed, sweetened, raw",1210,284,27,9.9,0.2,60.7,0,2.2,358,0.3,30,300,446,125,1.05,8,0,0,0,2,0.1,0.6,0.3,0,0,0.4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, cow, condensed, whole, sweetened, raw",1410,335,25.8,8.3,9.2,54.8,0,1.9,280,0.2,25,255,357,130,0.9,8,74,78,70,46,0.1,0.5,0.3,0,0,0.4,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, cow, powder, skimmed",1530,361,4.1,37.2,0.9,51,0,6.8,1290,0.4,115,1000,1602,550,3.83,23,5,5,4,7,0.45,1.64,0.9,54,54,4,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, cow, powder, whole    ",2070,495,3.2,26.1,26.4,38.4,0,6,975,0.5,85,730,1157,440,2.97,25,395,408,383,149,0.34,1.32,0.8,54,54,3.2,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, cow, skimmed, raw",162,38,89.8,3.5,0.1,5.8,0,0.8,130,0.1,12,109,170,44,0.32,1,0,0,0,1,0.03,0.18,0.1,6,6,0.4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, cow, skimmed, boiled",190,45,88,4.1,0.1,6.8,0,0.9,153,0.1,14,128,200,52,0.38,1,0,0,0,1,0.03,0.2,0.1,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, cow, whole, fermented (Lala - Industrial)",269,65,88.3,2.8,4.1,4.1,0,0.7,100,0.1,10,138,126,36,0.34,3,34,34,34,0,0,0.2,0,0,0,0.23,0,11,0,0,0,0,0,0,129,285,215,51,41,103,124,136,33,171,209,96,106,259,523,62,302,215,2.73,0,0,2.73,1.79,0.71,0.08,0.14,0,0,0,0,0,0,0,0,0,0,0,0.04,0.07
"Milk, cow, whole, fermented (Lala - mursik)",243,58,89.1,3.1,3.5,3.6,0,0.8,65,0.1,5,59,64,22,0.22,0,41,41,41,0,0,0.27,0,0,0,0.1,1,6,0,0,0,0,0,0,146,329,278,77,39,157,181,160,45,159,231,83,104,217,578,63,283,222,3.34,0,0,3.34,2.12,0.97,0.09,0.16,0,0,0,0,0,0,0,0,0,0,0,0.05,0.08
"Milk, cow, whole, fresh, raw",292,70,86.3,3.3,3.5,6.1,0,0.7,119,0.1,11,122,136,39,0.63,3,41,43,40,18,0,0.27,0,8,8,0.59,0,14,0,0,0,0,0,0,168,367,303,70,40,149,182,152,38,228,128,105,138,250,694,81,322,201,3.45,0,0,3.45,2.32,0.89,0.09,0.15,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09
"Milk, cow, whole, fresh, boiled",344,82,83.8,3.9,4.2,7.2,0,0.9,140,0.1,13,143,160,45,0.74,3,47,47,47,0,0,0.3,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, goat, fluid, whole, raw      ",325,78,85.3,3.5,4.5,5.8,0,0.9,180,0.1,12,128,207,57,0.35,1,32,32,32,0,0.05,0.19,0.5,1,1,0.35,0.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, goat, fluid, whole, boiled",382,92,82.7,4.1,5.3,6.8,0,1.1,211,0.1,14,150,243,68,0.41,1,38,38,38,0,0.05,0.21,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, human/breast, mature, fluid",303,73,87.2,1.2,4.4,7.1,0,0.2,32,0,3,15,51,14,0.17,2,61,61,60,7,0.02,0.03,0.2,5,5,0.05,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, sheep, fluid, whole, raw    ",391,94,82.8,5.1,5.8,5.2,0,1.1,193,0.1,18,142,175,44,0.54,2,81,81,81,0,0.07,0.36,0.4,7,7,0.7,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk, sheep, fluid, whole, boiled",459,110,79.8,6,6.8,6.2,0,1.2,227,0.1,21,166,206,52,0.64,2,95,95,95,0,0.07,0.4,0.4,7,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yoghurt, cow milk, whole, plain",356,85,82,2.9,3.1,11.3,0,0.7,149,0.2,10,93,130,32,0.34,2,34,36,32,23,0.1,0.2,0.1,0,0,0.2,0,9,0,0,0,0,0,0,131,293,259,52,40,122,127,145,3,162,120,75,97,255,557,63,291,223,2.65,0,0,2.65,1.74,0.7,0.07,0.13,0,0,0,0,0,0,0,0,0,0,0,0.03,0.07
"Beef, high fat, w/o bones, raw     ",1180,284,58.2,18.6,24.1,0,0,0.9,16,2.2,12,188,134,83,3,1,29,31,29,13,0,0.18,3.4,0,0,1.63,0.5,79,0,0,0,0,0,0,745,1200,1530,266,745,503,359,455,81,1350,745,555,1210,1570,2980,1100,986,505,22.94,0,0,22.94,12.4,8.71,0.8,1.03,0.03,0,0,0,0,0,0,0,0,0,0,0.39,0.62
"Beef, high fat, w/o bones, boiled (without salt)",1670,402,39.7,31.1,30.8,0,0,1.4,21,3.7,12,203,112,62,5,1,37,38,35,16,0,0.23,2.8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, high fat, w/o bones, grilled (without salt and fat)",1480,356,47.4,25.9,28,0,0,1.2,20,3,14,235,158,98,4.17,1,31,32,30,14,0,0.22,3.8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, high fat, w/o bones, stewed (without salt)",1890,455,34.7,29.1,37.6,0,0,1.4,21,3.5,12,235,105,58,4.69,1,34,36,33,15,0,0.23,3.2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, lean, raw",439,104,75.6,20.6,2.3,0.4,0,1.2,5,2.3,24,279,241,107,4.22,15,6,7,6,10,0,0.23,5.2,2,2,2.42,0.5,62,0,0,0,0,0,0,926,1630,1780,413,54,737,594,590,126,1620,1350,904,1440,2080,3850,1100,941,546,2.09,0,0,2.09,1.13,0.74,0.15,0.07,0,0,0,0,0,0,0,0,0,0,0,0.04,0.13
"Beef, lean, boiled (without salt)",884,209,50.3,41.9,4.6,0,0,2.4,7,4.7,30,370,246,99,8.62,30,10,11,8,15,0,0.38,5.3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, lean, grilled (without salt and fat)",602,142,66.2,28.5,3.1,0,0,1.6,6,3.1,29,349,285,127,5.87,20,7,7,6,10,0,0.29,5.8,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, lean, stewed (without salt)",817,194,54,38.8,4.3,0,0,2.2,7,4.4,30,421,228,91,7.97,28,9,10,8,14,0,0.37,5.9,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, liver, raw",506,120,73.9,20,4.2,0.7,0,1.3,6,10.1,17,369,159,75,4.12,17,19534,19601,19466,811,0.23,2.63,9.4,268,268,112.84,14,262,0,0,0,0,0,0,718,1720,1690,421,84,923,635,2370,161,1650,1240,569,1360,1420,1770,1220,873,444,3.11,0,0,3.11,1.44,0.53,1.07,0.08,0,0,0,0,0,0,0,0,0,0,0,0.42,0.67
"Beef, liver, boiled (without salt)",749,178,60.4,30.2,6.4,0,0,2,7,14.6,20,391,145,68,6.25,25,23677,23759,23595,983,0.24,3.5,7.1,264,264,111,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, medium fat, w/o bones, raw",632,151,70.3,19.7,7.2,1.8,0,1,4,12.4,24,280,231,121,3.85,20,10,10,9,5,0,0.21,4.4,2,2,1.9,0.6,63,0,0,0,0,0,0,983,1540,1700,377,54,663,512,573,127,1780,1290,770,1610,2030,3530,1110,1050,562,6.82,0,0,6.82,3.55,2.75,0.22,0.29,0,0,0,0,0,0,0,0,0,0,0,0.1,0.18
"Beef, medium fat, without bones, boiled (without salt)",829,197,55.2,32.8,7.4,0,0,1.7,5,20.7,24,303,192,91,6.41,34,12,13,11,6,0,0.27,3.7,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, medium fat, without bones, grilled (without salt and fat)",734,175,61.5,27.3,7.3,0,0,1.4,5,16.3,28,350,272,143,5.34,28,10,10,10,5,0,0.26,4.9,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, medium fat, without bones, stewed (without salt)",939,224,53.6,30.7,11.3,0,0,1.6,5,19.4,24,350,180,85,6.01,32,11,12,11,6,0,0.27,4.2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camel blood, raw",348,42,78.4,15.8,0.9,2.7,0,2.2,8,20.6,6,33,114,313,0.65,12,74,74,74,0,0.04,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camel Meat,826,197,60.5,18.6,8.9,10.8,0,1.4,4,3.8,13,134,325,49,1.93,9,1,2,0,10,0.04,0.2,6,8,8,1.7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cow's blood, raw",403,95,75,13.8,0.9,8,0,2.4,14,18.8,5,20,199,469,1.13,21,74,74,74,0,0.08,0.09,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duck, meat and skin, fresh, raw",1050,253,62.2,17.8,21.2,0,0,1.1,5,1.9,15,167,212,82,1.55,20,39,39,39,0,0.35,0.45,3.51,0,0,0.6,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chicken, unespecified part, w/o bone, meat&skin, raw",864,207,63.6,18.7,13,3.8,0,0.9,13,2.5,20,243,152,68,0.89,16,75,75,75,0,0.14,0.12,6.4,11,11,0.63,1.2,99,0,0,0,0,0,0,866,1520,2030,478,84,716,552,773,160,1370,1180,619,1190,1490,2030,897,684,376,12.33,0,0,12.33,3.71,5.71,2.85,0.05,0,0,0,0,0,0,0,0,0,0,0,0.14,2.73
"Chicken, unspecified part, w/o bone, meat&skin, boiled (without salt)",942,226,55.7,23.7,14.6,0,0,1.2,14,2.5,18,215,77,34,1.13,21,52,52,52,0,0.1,0.14,4.9,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chicken, unspecified part, w/o bone, meat&skin, grilled (without salt and fat)",951,228,55.2,24,14.7,0,0,1.2,15,2.9,19,249,156,70,1.14,21,72,72,72,0,0.11,0.13,6.6,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egg, chicken, white (albumen), raw     ",206,48,87.2,11.2,0,0.9,0,0.7,5,0.1,11,10,119,143,0,11,0,0,0,[0],0,0.41,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egg, chicken, white (albumin), boiled (without salt)",206,48,87.2,11.2,0,1,0,0.7,5,0.1,10,10,113,135,0,10,0,0,0,0,0,0.33,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
