Food name,Energy(kJ),Energy(kcal) ,Water(g),Protein(g),Fat(g),Carbohydrate available(g) ,Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin(mg) ,Riboflavin(mg) ,Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12(mcg) ,Vit C(mg),Cholesterol (mg),Oxalic acid OXALAC(mg),Phytate(mg) ,IP3 (mg),IP4 (mg),IP5 (mg),IP6 (mg),Isoleucin(mg),Leucine(mg),Lysine(mg),Methionine(mg),Cystine(mg),Phenylalanine(mg),Tyrosine(mg),Threonine(mg),Tryptophan(mg),Valine(mg),Arginine(mg),Histidine(mg),Alanine(mg),Aspartic acid(mg),Glutamic acid(mg),Glycine(mg),Proline(mg),Serine(mg),"Fatty acids, total (standardized)","Fatty acids, total, own calculation (g)_own","Fatty acids, total (from source)(g)_from source",Sum of individual FA(g)(standardized),"fatty acids, total saturated (standardized)","fatty acids, total monounsaturated (standardized)(g)","fatty acids, total polyunsaturated (standardized)(g)","fatty acids, total trans (standardized)(g)","other fatty acids, not specifiied (standardized)","fatty acids, total saturated (own calculation)","fatty acids, total monounsaturated (own calculation)","fatty acids, total polyunsaturated (own calculation)","fatty acids, total trans (own calculation)","other fatty acids, not specifiied (own calculation)","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated","fatty acids, total trans (from source)","other fatty acids, not specifiied (from source)","Sum of polyunsaturated FA, n-3 (standardized)","Sum of polyunsaturated FA, n-6 (standardized)"
"Capsicum (sweet peper), yellow, boiled, drained (without salt)",99,24,92.4,1.6,0.2,2.6,2.5,0.7,21,0.6,12,45,139,1,0.22,0,14,29,0,172,0.1,0.01,0.4,17,17,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), yellow, grilled (without salt and fat)",93,22,92.9,1.5,0.2,2.4,2.4,0.7,21,0.7,19,47,260,2,0.28,0,13,27,0,161,0.14,0.02,0.6,23,23,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capsicum (sweet peper), yellow, baked (without salt)",90,22,93.1,1.4,0.2,2.4,2.3,0.6,20,0.7,18,45,252,2,0.27,0,13,26,0,156,0.13,0.02,0.6,22,22,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrot, peeled, raw",124,30,90.6,0.7,0.2,4.5,3.2,0.6,33,0.6,17,25,251,35,0.14,0,589,1180,0,7070,0.04,0.03,0.22,18,18,0,5.5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrot, peeled, boiled, drained (without salt)",132,32,90,0.8,0.3,4.8,3.4,0.7,34,0.5,11,24,120,21,0.11,0,564,1130,0,6770,0.03,0.02,0.2,10,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrot, peeled, stewed (without salt)",129,31,90.2,0.8,0.2,4.7,3.4,0.7,35,0.6,17,26,261,37,0.14,0,552,1110,0,6630,0.04,0.03,0.2,13,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cauliflower, tops and stems, raw",79,19,93.2,2,0.2,0.9,2.8,0.9,17,0.8,11,49,292,30,0,1,0,0,0,2,0.06,0.09,0.5,44,44,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cauliflower, tops and stems, boiled, drained (without salt)",79,19,93.2,2,0.2,0.9,2.8,0.9,16,0.6,6,44,146,23,0.19,0,0,0,0,1,0.04,0.06,0.3,22,22,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celery, stalk, raw",114,27,90.9,0.6,0.1,5.3,1.4,1.8,70,1,19,50,267,28,0.21,2,39,78,0,465,0.03,0.03,0.4,13,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celery, stalk, boiled, drained (without salt)",127,30,89.9,0.7,0.1,5.8,1.6,1.9,74,0.8,13,50,148,23,0.18,2,39,78,0,465,0.02,0.02,0.3,7,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Courgette, green, unpeeled, raw",78,19,94.8,0.9,0.3,2.5,1.1,0.4,18,0.5,16,34,188,1,0.33,1,23,46,0,278,0.03,0.06,0.6,17,17,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Courgette, green, unpeeled, boiled, drained (without salt)",86,21,94.2,1,0.3,2.8,1.2,0.4,19,0.4,11,34,104,1,0.28,1,14,28,0,168,0.02,0.04,0.4,9,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cowpea, leaves, picked, raw",123,30,88.7,3.4,0.4,0.7,4.9,1.9,188,2.7,47,17,485,31,1,1,36,72,0,0,0.49,0.37,1.6,95,95,0,50,0,16,0,0,0,0,0,205,350,225,40,tr,260,180,205,55,255,205,70,280,435,390,230,185,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cowpea, leaves, picked, boiled, drained (without salt)",117,28,89.2,3.2,0.4,0.6,4.7,1.8,170,1.9,27,15,231,22,0.53,0,0,0,0,0,0.3,0.23,1,45,45,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cowpea, leaves, picked, steamed (without salt)",107,26,90.2,2.9,0.4,0.6,4.3,1.7,155,1.9,37,14,358,23,0.58,0,0,0,0,0,0.34,0.29,1.1,49,49,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cucumber, green, unpeeled, raw",47,11,96.2,0.6,0.1,1.3,1.4,0.5,20,0.7,14,20,136,22,0.18,1,0,1,0,5,0.03,0.02,0.2,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggplant / Brinjal, different varieties, whole edible, raw",111,27,90.8,1.2,0.3,2.8,4,0.9,18,0.4,21,35,200,3,0.21,1,12,24,0,146,0.05,0.05,1,29,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",119,29,90.1,1.3,0.3,3,4.3,1,19,0.3,14,34,108,2,0.17,0,12,24,0,141,0.03,0.03,0.4,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",139,33,88.5,1.5,0.4,3.4,5,1.2,23,0.5,26,44,250,4,0.26,1,14,27,0,164,0.06,0.06,0.6,25,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jute mallow, picked leaves, raw",187,45,82.3,4.6,0.2,2.1,8.3,2.5,207,6.3,30,88,283,18,0.58,1,217,434,0,2603,0.09,0.34,0.53,117,117,0,44.5,0,59,0,0,0,0,0,200,335,230,65,0,300,155,170,70,255,245,95,250,470,445,240,210,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jute mallow, picked leaves, boiled, drained (without salt)",197,47,81.4,4.9,0.2,2.2,8.7,2.6,207,5,19,84,149,14,0.46,1,205,411,0,2466,0.06,0.23,0.4,61,61,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jute mallow, picked leaves, stewed (without salt)",231,56,78.2,5.7,0.2,2.6,10.2,3.1,255,7.8,37,109,349,23,0.72,1,241,482,0,2892,0.1,0.4,0.6,101,101,0,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kale, Ethiopian (kanzera), leaves, raw",113,27,90.4,3.3,0.6,0.2,4,1.6,117,5.7,54,51,639,7,0.7,0,118,236,0,1418,0.06,0.23,0.9,73,73,0,134,0,13,0,0,0,0,0,155,250,205,31,43,235,120,165,39,245,115,85,225,335,435,170,140,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
