Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
Fit Cereal Honey Balls,BREAKFAST CEREALS,FILLED CEREAL/POPS,Ultra-processed foods,false,
Galitos Garlic Piri Piri Sauce,TABLE SAUCES,OTHER CONDIMENT SAUCE,Ultra-processed foods,false,new subclass: OTHER CONDIMENT SAUCE
Galitos Hot Piri Piri Sauce,TABLE SAUCES,OTHER CONDIMENT SAUCE,Ultra-processed foods,false,new subclass: OTHER CONDIMENT SAUCE
Galitos Lemon And Herb Piri Piri Sauce,TABLE SAUCES,OTHER CONDIMENT SAUCE,Ultra-processed foods,false,new subclass: OTHER CONDIMENT SAUCE
Galitos Premium Reserve Piri Piri Sauce,TABLE SAUCES,OTHER CONDIMENT SAUCE,Ultra-processed foods,false,new subclass: OTHER CONDIMENT SAUCE
Godson Organics Sesame Seeds,HERBS AND SPICES,SPICES - SESAME SEEDS,Unprocessed/Minimally processed foods,false,new subclass: SPICES - SESAME SEEDS
Gran Luchito Chipotle Salsa,TABLE SAUCES,SALSA/GUACAMOLE,Ultra-processed foods,false,new subclass: SALSA/GUACAMOLE
Gran Luchito Mango Habaner Salsa,TABLE SAUCES,SALSA/GUACAMOLE,Ultra-processed foods,false,new subclass: SALSA/GUACAMOLE
Gran Luchito Tomatillo Salsa,COOKING SAUCES,STIR FRY/ASIAN SAUCE,Ultra-processed foods,false,new subclass: STIR FRY/ASIAN SAUCE
Green Forest Unpeeled Peanuts,"PULSES - PEAS, LENTILS, BEANS",RAW PEANUTS,Unprocessed/Minimally processed foods,false,new subclass: RAW PEANUTS
GREENLIFE SANDWICH SEA SEDGE,VEGETABLES,SEAWEED,Unprocessed/Minimally processed foods,false,dried seaweed/nori
GURU SPECIAL BASMATI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,false,basmati = white rice
Hamlet Excellent Line Gold,CHOCOLATE,CHOCOLATE,Ultra-processed foods,false,Hamlet Excellent Line praline assortment; moved from CANDY AND CONFECTIONERY
HARIBO CHAMALLOWS,CANDY AND CONFECTIONERY,MARSHMALLOWS,Ultra-processed foods,false,Haribo Chamallows = marshmallows; moved from COOKING FAT
Healthy Kajuju Tropical Fruit Granola,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,new subclass: GRANOLA
Heinz 1000 Island Sauce,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Heinz Baked Beans In Tomato Sauce,"PULSES - PEAS, LENTILS, BEANS",CANNED BEANS (READY),Processed foods,false,new subclass: CANNED BEANS (READY)
Heinz Mustard Sauce,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
Heinz Original Salad Cream,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,
HELIOS FRUITS OF THE FOREST E P,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods,false,Helios fruits-of-the-forest preserve
HELIOS RASPBERRY E FRUIT PRESER,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods,false,Helios raspberry preserve
HELIOS SUGARED STRAWBERRY PRESE,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods,false,Helios sugared strawberry preserve
Highlands Drinking Water Juice,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,false,Highlands flavoured water juice drink
HP Original Sauce,TABLE SAUCES,BROWN/WORCESTERSHIRE SAUCE,Ultra-processed foods,false,new subclass: BROWN/WORCESTERSHIRE SAUCE
Jade Bridge Fish Sauce,COOKING SAUCES,FISH SAUCE,Ultra-processed foods,false,moved from TABLE SAUCES
