description,class_name,subclass_name,nova
C/BELL FRUIT YOGHURT VAN,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
C/BELL YOGHURT EXOTIC WILD BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
CADBURY CASHEW & COCONUT BAR,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY COCOA,COCOA,COCOA - UNSWEETENED WITHOUT MILK,Ultra-processed foods
CADBURY COCOA HOT 3 IN,COCOA,COCOA - SWEETENED WITH MILK,Ultra-processed foods
CADBURY COCOA HOT 3 IN 1 SAT,COCOA,COCOA - SWEETENED WITH MILK,Ultra-processed foods
CADBURY DAIRY FRUIT & NUT,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY DAIRY MILK,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY DAIRY MILK BUBBLY,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY DAIRY MILK TOP DECK BAR,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY DREAM BAR,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY DREAM BAR W/BISCUIT,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY DRINKING CHOCOLATE,COCOA,COCOA - SWEETENED WITHOUT MILK,Ultra-processed foods
CADBURY ECLAIRS,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods
CADBURY FRUIT & NUT BAR,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY LUNCH BAR MAX,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY LUNCH BAR MINI,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CADBURY RUM & RAISIN BAR,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
CAL N/OWN BEEF MASALA,HERBS AND SPICES,SPICES - BEEF MASALA,Unprocessed/Minimally processed foods
CAL N/OWN CARDAMON WHOLE,HERBS AND SPICES,SPICES - CARDAMON,Unprocessed/Minimally processed foods
CAL N/OWN CAYENNE PEPPER GROUNDED,HERBS AND SPICES,SPICES - CAYENNE PEPPER,Unprocessed/Minimally processed foods
CAL N/OWN CHICKEN MASALA,HERBS AND SPICES,SPICES - CHICKEN MASALA,Unprocessed/Minimally processed foods
CAL N/OWN CHILLI GROUNDED,HERBS AND SPICES,SPICES - CHILLIES,Unprocessed/Minimally processed foods
CAL N/OWN CURRY POWDER,HERBS AND SPICES,SPICES - CURRY POWDER,Unprocessed/Minimally processed foods
CAL N/OWN DHANIA JEERA,HERBS AND SPICES,SPICES - DHANA JEERA,Unprocessed/Minimally processed foods
CAL N/OWN FISH MASALA,HERBS AND SPICES,SPICES - FISH MASALA,Unprocessed/Minimally processed foods
CAL N/OWN PILAU MASALA GROUNDED,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods
CAL N/OWN PILAU MASALA WHOLE,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods
CAL N/OWN TEA MASALA,HERBS AND SPICES,SPICES - TEA MASALA,Unprocessed/Minimally processed foods
CAL N/OWN TURMERIC GROUNDED,HERBS AND SPICES,SPICES - TURMERIC,Unprocessed/Minimally processed foods
CARDAMON GROUND CHARSCO,HERBS AND SPICES,SPICES - CARDAMON,Unprocessed/Minimally processed foods
CARDAMON WHOLE CHARSCO,HERBS AND SPICES,SPICES - CARDAMON,Unprocessed/Minimally processed foods
CARDAMONS GROUND DEEPA,HERBS AND SPICES,SPICES - CARDAMON,Unprocessed/Minimally processed foods
CERELAC BANANA BIB,BABY FOODS - WHEAT CEREALS,BABY/INFANT WHEAT CEREALS,Ultra-processed foods
CERELAC WHEAT,BABY FOODS - WHEAT CEREALS,BABY/INFANT WHEAT CEREALS,Ultra-processed foods
CERELAC WHEAT BIB,BABY FOODS - WHEAT CEREALS,BABY/INFANT WHEAT CEREALS,Ultra-processed foods
CERES APPLE JUICE BLEND,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
CERES EXOTIC PASSION JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
CERES ORANGE JUICE BLEND,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
CHEVDA 100 HAPPY EATER,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
CHEVDA CHILLI LEMON DEEPA,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
CHEVDA DEEPA,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
CHEVDA PACKET DEEPA,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
CHEVDO SOFT & CRISPY C & R,SWEET AND SAVOURY SNACKS,CHEVDA/BOMBAY MIX,Ultra-processed foods
CHICKEN BRAWN F/CHOICE,PROCESSED POULTRY,CHICKEN BRAWN,Ultra-processed foods
CHICKEN DRUMSTICK KENCHIC BUTCHERY,POULTRY,CHICKEN,Unprocessed/Minimally processed foods
CHICKEN FRESH CAPON KENCHIC (BUTCHERY),POULTRY,CHICKEN,Unprocessed/Minimally processed foods
CHICKEN GIZZARDS KENCHIC (BUTCHERY),POULTRY GIBLETS,CHICKEN GIBLETS,Unprocessed/Minimally processed foods
CHICKEN LEGS 4PC KENCHIC,POULTRY GIBLETS,CHICKEN GIBLETS,Unprocessed/Minimally processed foods
CHICKEN LEGS 4PC KENCHIC (BUTCHERY),POULTRY GIBLETS,CHICKEN GIBLETS,Unprocessed/Minimally processed foods
CHICKEN LIVER KENCHIC (BUTCHERY),POULTRY GIBLETS,CHICKEN GIBLETS,Unprocessed/Minimally processed foods
CHICKEN MASALA DEEPA,HERBS AND SPICES,SPICES - CHICKEN MASALA,Unprocessed/Minimally processed foods
CHICKEN SAUSAGE F/CHOICE,PROCESSED POULTRY,CHICKEN SAUSAGES/VIENNAS,Ultra-processed foods
CHICKEN SAUSAGE KENCHIC,PROCESSED POULTRY,CHICKEN SAUSAGES/VIENNAS,Ultra-processed foods
CHICKEN SMOKED SAUSAGE KENCHIC,PROCESSED POULTRY,CHICKEN SAUSAGES/VIENNAS,Ultra-processed foods
CHICKEN SMOKED SAUSAGES KENCHIC,PROCESSED POULTRY,CHICKEN SAUSAGES/VIENNAS,Ultra-processed foods
CHICKEN THIGH BONE-IN 6PC KENCHIC (BUTCHERY),POULTRY,CHICKEN,Unprocessed/Minimally processed foods
CHIGS CHEESE & ONION CRISPS,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CHIGS GANTHIA,SWEET AND SAVOURY SNACKS,GANTHIA SNACKS,Ultra-processed foods
CHIGS SALT VINEGAR CRISPS,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CHIGS SALTED CRISPS PLN,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CHIGS TOMATO CRISPS,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CHILLI PILLI TARMARID CHUTNEY,COOKING SAUCES,CHILLI PASTE,Ultra-processed foods
CHILLIES GROUND DEEPA,HERBS AND SPICES,SPICES - CHILLIES,Unprocessed/Minimally processed foods
CHIPO,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
CHIPSY,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
CHOCO BALL,PASTRIES,PASTRIES - CHOCOLATE BALLS,Ultra-processed foods
CHOCOLATE CAKES,CUPCAKES/MUFFINS/QUEENCAKES,CUPCAKES,Ultra-processed foods
CHOCOLATE DIPS,CHOCOLATE,CHOCOLATE,Ultra-processed foods
CHOCOLATE DOUGHNUT,PASTRIES,PASTRIES - DOUGHNUT,Ultra-processed foods
CHOCOLATE FINGERS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
CHOCOLATE HEART,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
CHOCOPRIMO,COCOA,COCOA - SWEETENED WITHOUT MILK,Ultra-processed foods
CHOCOPRIMO TIN,COCOA,COCOA - SWEETENED WITHOUT MILK,Ultra-processed foods
CHOCOPRIMO TIN/,COCOA,COCOA - SWEETENED WITHOUT MILK,Ultra-processed foods
CHOOZE PUFF CHEESE T/HEAT,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
CHOOZE PUFF TOMATO T/HEAT,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
CINNAMON GROUND CHARSCO,HERBS AND SPICES,SPICES - CINNAMON,Unprocessed/Minimally processed foods
CINNAMON GROUND DEEPA,HERBS AND SPICES,SPICES - CINNAMON,Unprocessed/Minimally processed foods
CINNAMON ROLL,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods
CINNAMON WHOLE CHARSCO,HERBS AND SPICES,SPICES - CINNAMON,Unprocessed/Minimally processed foods
CITRIC ACID DEEPA,HERBS AND SPICES,SPICES - CITRIC ACID,Unprocessed/Minimally processed foods
CLOVERS BI-CARBONATE OF SODA,BAKING ADDITIVES,BAKING SODA,Ultra-processed foods
CLOVERS CHILI SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
CLOVERS CHILLI SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
CLOVERS COCOA POWDER SAT,COCOA,COCOA - UNSWEETENED WITHOUT MILK,Ultra-processed foods
CLOVERS CORNFLOUR,MAIZE/CORN FLOUR,CORN FLOUR,Unprocessed/Minimally processed foods
CLOVERS DRINKING CHOCOLATE,COCOA,COCOA - SWEETENED WITHOUT MILK,Ultra-processed foods
CLOVERS DRINKING CHOCOLATE SAT,COCOA,COCOA - SWEETENED WITHOUT MILK,Ultra-processed foods
CLOVERS HOT N SWEET SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
CLOVERS PURE GLUCOSE,SUGAR - POWDERED,GLUCOSE,Processed Culinary Ingredients
CLOVERS TOMATO KETCHUP,TABLE SAUCES,TOMATO KETCHUP,Ultra-processed foods
CLOVERS TOMATO SAUCE,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
CLOVERS VANILLA ESSENCE,FOOD FLAVOUR ADDITIVES,FOOD FLAVOUR ADDITIVES,Ultra-processed foods
CLOVERS WHITE VINEGAR,TABLE SAUCES,VINEGAR,Ultra-processed foods
CLUB SODA APPLE,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
CLUB SODA B/CURRANT,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
CLUB SODA BLACKCURRANT,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
CLUB SODA COLA,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
CLUB SODA LEMON & LIME,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
CLUB SODA MANGO,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
CLUB SODA ORANGE,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
CLUB SODA P/APPLE,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
CLUB SODA PASSION,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
COATED PEANUTS FRESH N CRUNCHY,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
COCOA PRIMO,COCOA,COCOA - UNSWEETENED WITHOUT MILK,Ultra-processed foods
COCOA PRIMO TIN/,COCOA,COCOA - UNSWEETENED WITHOUT MILK,Ultra-processed foods
COCONUT OAT COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
COFFEE KISSES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
CORRIENDER GROUND DEEPA,HERBS AND SPICES,HERBS - CORIANDER/DHANIA,Unprocessed/Minimally processed foods
COSMO MAIZE,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
COW AND GATE,INFANT FORMULA,INFANT FORMULA,Ultra-processed foods
COWBOY,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
CREAM DOUGHNUT,PASTRIES,PASTRIES - DOUGHNUT,Ultra-processed foods
CREAM MARBLE SLICE,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
CREAM MUFFIN,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
CRIBAZ SALTED CRISPS NORDA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRIBAZ TOMATO CRISPS NORDA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS CHEESE & ONION DEEPA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS CHEESE & ONION H/EATER,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS CHEESE & ONION HAPPY EATER,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS CHILLI & LEMON DEEPA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS SALT & VINEGAR DEEPA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS SALT & VINEGAR HAPPY EATER,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS SALTED DEEPA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS SALTED HAPPY EATER,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS TOMATO FLAVOUR DEEPA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS TOMATO H/EATER,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS TOMATO HAPPY EATER,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS WAVE SALT & VINE DEEPA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS WAVE SALTED DEEPA,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CRISPS WAVES MASALA T/HEAT,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
CROISSANT PLAIN,PASTRIES,PASTRIES - CROISSANT,Ultra-processed foods
CUMMIN SEEDS GROUND DEEPA,HERBS AND SPICES,SPICES - CUMIN,Unprocessed/Minimally processed foods
D/LAND CHOCOLATE BAR ALMOND & RAISIN,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
D/LAND CHOCOLATE BAR REAL MILK,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
D/LAND CHOCOLATE BAR WHITE W/COOKIES,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
DAAWAT AROMATIC,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
DAAWAT BIRYANI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
DAAWAT BLUE LABEL SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
DAAWAT BROWN RICE,CEREAL GRAINS,BROWN RICE,Unprocessed/Minimally processed foods
DAAWAT DELI BASMATI,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
DAAWAT GREEN LABEL SPAGHETI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
DAAWAT LONG GRAIN RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
DAAWAT PARBOILED,CEREAL GRAINS,PARBOILED RICE,Unprocessed/Minimally processed foods
DAAWAT RED LABEL SPAGHETI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
DAAWAT TRAD BASMATI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
DAIMA MAZIWA BORA,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
DAIMA THICK YOGHURT B/CURRANT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DAIMA THICK YOGHURT CHOCOLATE,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DAIMA THICK YOGHURT MANGO,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DAIMA THICK YOGHURT NAT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DAIMA THICK YOGHURT S/BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DAIMA THICK YOGHURT VAN,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DAIMA U H T MAZIWA BORA FINO,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
DAIMA WHOLE MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
DAIMA WHOLE MILK FINO,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
DANISH COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
DASANI MINERAL WATER,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
DAZ BANANA FLAVOUR MILL,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
DAZ COCONUT FLAVOUR MILL,FRUITS,COCONUT,Unprocessed/Minimally processed foods
DAZ GINGER FLAVOUR MILL,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
DAZ HONEY FLAVOUR MILL,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
DAZ LEMON FLAVOUR MILL,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
DAZ MILK FLAVOUR MILL,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
DEL MANGO JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DEL MIXED BERRY JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DEL ORANGE JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DEL PURE ORANGE JUICE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DEL TROPICAL JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DELAMARE PREM LEMON BISCUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE PREM PEAR CARAM YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE PREM S/BERRY FRT YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE PREM S/BERRY YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE PREM VAN FRT YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE PREM YOGHURT CHOCOLATE CHIPS,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE PREM YOGHURT WILD BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE YOGHURT PREM S/BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE YOGHURT S/BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELAMARE YOGHURT VANILLA,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DELICIOUS CAKES HALF DECO,CAKES,CAKES,Ultra-processed foods
DELICIOUS DELIGHT CHOCOLATE COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
DELICIOUS DELIGHT COCONUT COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
DELICIOUS DELIGHT ENGLISH MUFFIN 8PC,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
DELICIOUS DELIGHT FULL DECO,CAKES,CAKES,Ultra-processed foods
DELICIOUS DELIGHT HALF DECO,CAKES,CAKES,Ultra-processed foods
DELICIOUS DELIGHT HEART DELI,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
DELICIOUS DELIGHT MANDAZI,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods
DELICIOUS DELIGHT MUFINS CHOCOLATE/ 6PKT,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
DELICIOUS DELIGHT QUEEN CAKES,CUPCAKES/MUFFINS/QUEENCAKES,QUEENCAKES,Ultra-processed foods
DELICIOUS DELIGHT TEA SCONES,PASTRIES,PASTRIES - SCONES,Ultra-processed foods
DELICIOUS DELIGHT VANILLA COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
DELICIOUS GREEN FOREST,CAKES,CAKES,Ultra-processed foods
DELICIOUS HEART DELI,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
DELICIOUS MINI MADERIA,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
DELICIOUS MUFFINS CAKE,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
DELICIOUS QUEEN CAKES,CUPCAKES/MUFFINS/QUEENCAKES,QUEENCAKES,Ultra-processed foods
DELICIOUS TWIN CAKE,CAKES,CAKES,Ultra-processed foods
DELICIUOS DELIGHT MUFFINS CAKE,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
DELMONTE PINEAPPLE SLICED,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DEPYS CRISPS CHEESE & ONION,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
DEPYS CRISPS SALT & VINEGAR,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
DEPYS CRISPS SALTED,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
DEPYS CRISPS TOMATO,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods
DISNEY S/BERRY FLAV MILK,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
DISNEY S/BERRY YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DISNEY TCA MILK,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
DISNEY VANILLA FLAV MILK,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
DISNEY VANILLA YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
DL 1/4 CHICKEN,FAST FOODS,PRE-PREPARED CHICKEN,Ultra-processed foods
DL ANDAZI,FAST FOODS,PRE-PREPARED MANDAZI,Ultra-processed foods
DL BEEF BURGAR,FAST FOODS,PRE-PREPARED BEEF BURGER,Ultra-processed foods
DL BEEF FRY,FAST FOODS,PRE-PREPARED BEEF,Ultra-processed foods
DL BEEF SAMOSA,FAST FOODS,PRE-PREPARED BEEF SAMOSA,Ultra-processed foods
DL BEEF SAUSAGE,FAST FOODS,PRE-PREPARED BEEF SAUSAGE,Ultra-processed foods
DL BEEF SMOKIE,FAST FOODS,PRE-PREPARED BEEF SMOKIE,Ultra-processed foods
DL CHICKEN BURGAR,FAST FOODS,PRE-PREPARED CHICKEN BURGER,Ultra-processed foods
DL CHICKEN SAUSAGE (EXPO F/C),FAST FOODS,PRE-PREPARED CHICKEN SAUSAGE,Ultra-processed foods
DL CHIPS,FAST FOODS,PRE-PREPARED CHIPS,Ultra-processed foods
DL CHOMA SAUSAGE,FAST FOODS,PRE-PREPARED SAUSAGE,Ultra-processed foods
DL HOT DOG PLAIN,FAST FOODS,PRE-PREPARED HOT DOG,Ultra-processed foods
DL LYONNAISE POTATOES,FAST FOODS,PRE-PREPARED ROAST POTATOES,Ultra-processed foods
DL MASALA CHIPS,FAST FOODS,PRE-PREPARED CHIPS,Ultra-processed foods
DL MIXED VEGETABLES,FAST FOODS,PRE-PREPARED MIXED VEGETABLES,Ultra-processed foods
DL PILAU,FAST FOODS,PRE-PREPARED PILAU,Ultra-processed foods
DL SPAGHETTI BOLOGNUIS,FAST FOODS,PRE-PREPARED SPAGHETTI,Ultra-processed foods
DL STEAMED RICE,FAST FOODS,PRE-PREPARED RICE,Ultra-processed foods
DL WHITE CHAPATI,FAST FOODS,PRE-PREPARED CHAPATI,Ultra-processed foods
DM MANGO JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DM MIXED BERRY JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DM ORANGE JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DM PASSION JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DM PINEAPPLE & ORANGE JUICE BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DM PINEAPPLE MANGO BLEND,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DM PURE GOLD PINEAPLE JUICE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DM TROPICAL FRUIT JUICE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
DOLA ATTA MARK,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods
DORMANS 3K,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
DORMANS GRANULATED INSTANT COFFEE,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
DORMANS STICK INSTANT COFFEE,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
DOUGHNUT PLAIN,PASTRIES,PASTRIES - DOUGHNUT,Ultra-processed foods
EDEN T/BAG ENV LEMON,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
EDEN T/BAG ENV TANGAWIZI,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
