description,class_name,subclass_name,nova
YANKEE COATED GROUNDNUTS,SALTED/SUGARED NUTS,SALTED GROUNDNUTS,Processed foods
YANKEE ROASTED CASHEWNUT,SALTED/SUGARED NUTS,SALTED CASHEW NUTS,Processed foods
YEGO DIGESTIVE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
YEGO MARIE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
YEGO MILK BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
YEGO NICE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
YEGO SHORTCAKE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
YELLO GOLD,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
YOGHURT BIO PEACH,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT BIO STRAWBERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT BIO TROPICAL MIX,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DAIMA B/CURRANT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DAIMA CHOCOLATE,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DAIMA MANGO,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DAIMA NATURAL,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DAIMA STRAWBERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DAIMA VANILLA,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DELITE COCONUT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DELITE S/BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT DELITE VANILLA,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT FRESHA S/BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT FRESHA STRAWBERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YOGHURT FRESHA VANILLA,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
YUMMY NATURAL PEANUT BUTTER,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods
ZESTA BICARBONATE OF SODA,BAKING ADDITIVES,BAKING SODA,Ultra-processed foods
