source_dataset,source_row_ids,merged_duplicate_count,product_name,normalized_name,package_size,portion_type,portion_basis,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,saturated_fat_g,trans_fat_g,fibre_g,sodium_g,salt_g,calcium_mg,sub_type,form,category,flavour,additives,data_quality_flags
all_categories_combined,863,1,Carrefour Pasta Vermicelli 400G,CARREFOUR PASTA VERMICELLI,Pack size : 400g,Average Nutritional Value As Per 100g,PER_100G,354,1481.1,13,72,0,1,,,2,0,0,,Pasta,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,260,1,Carrefour Pastry Flan Cream Mix 360g,CARREFOUR PASTRY FLAN CREAM MIX,Pack size : 360g,Average Nutritional Value As Per 100g,PER_100G,387,1643,0.7,94,55,0.8,,,,0.02,0.05,,Flan Cream Mix,Powder,Food,,,sodium_derived_from_salt
all_categories_combined,4051,1,Carrefour Peach Acid Sweets Jelly 250g,CARREFOUR PEACH ACID SWEETS JELLY,Pack size : 250g,Average Nutritional Value As Per 100g,PER_100G,53.2,222.5,5.4,14,0.1,0,,,0.2,0.006,0.015,,Jelly,Jelly,Food,Peach,,salt_derived_from_sodium
all_categories_combined,1537,1,Carrefour Red Vinegar Pet 946Ml,CARREFOUR RED VINEGAR PET,Pack size : 946ml,Average Nutritional Value As Per 100g,PER_100G,89,362,0.01,1.2,1.2,,,,,5e-05,0.000125,,Vinegar,Liquid,Food,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,4407,1,Carrefour Rocher Noir 7X35G,CARREFOUR ROCHER NOIR 7X35G,,Nutritional Information Per 100g,PER_100G,557,2321,,,,36,,,,,,,,,,,,missing_sodium|missing_sugar
all_categories_combined,4230,1,Carrefour Salt And Vinegar Potato Chips 170G,CARREFOUR SALT AND VINEGAR POTATO CHIPS,Pack size : 170g,Average Nutritional Value As Per 100g,PER_100G,532,2225.89,9.1,53,0.5,32,,,4.2,0.351,0.8775,,Potato Chips,Solid,Food,"Salt, Vinegar",,salt_derived_from_sodium
all_categories_combined,4232,1,Carrefour Salted Potato Chips 170G,CARREFOUR SALTED POTATO CHIPS,Pack size : 170g,Average Nutritional Value As Per 100g,PER_100G,536,2242.62,8.4,55,0.5,32,,,4.7,0.394,0.985,,Potato Chips,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,2838,1,Carrefour Selection 72 Cocoa Beans Dark Chocolate Bar 100G,CARREFOUR SELECTION 72 COCOA BEANS DARK CHOCOLATE BAR,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,539,2241,9,41,36,35,,,11,0.004,0.01,,Chocolate Bar,Solid,Food,Cocoa,,sodium_derived_from_salt
all_categories_combined,3222,1,Carrefour Selection Dark Orange Chocolate Bar 100g,CARREFOUR SELECTION DARK ORANGE CHOCOLATE BAR,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,538,2239,6.5,43,37,35,,,8.2,0.012,0.03,,Chocolate Bar,Solid,Food,Orange,,sodium_derived_from_salt
all_categories_combined,3243,1,Carrefour Selection Mango Sichuan Pepper Dark Chocolate Bar 100G,CARREFOUR SELECTION MANGO SICHUAN PEPPER DARK CHOCOLATE BAR,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,520,2169,6,54,47,29,,,7.2,0.044,0.11,,Chocolate Bar,Solid,Food,Mango,,sodium_derived_from_salt
all_categories_combined,3252,1,Carrefour Selection Pear Dark Chocolate Bar 100G,CARREFOUR SELECTION PEAR DARK CHOCOLATE BAR,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,540,2247,6.9,43,40,37,,,8.3,0.008,0.02,,Chocolate Bar,Solid,Food,Pear,,sodium_derived_from_salt
all_categories_combined,2802|2803|4616,3,Carrefour Sour Cherry Jam 380G,CARREFOUR SOUR CHERRY JAM,,Average Nutritional Value As Per 100g,PER_100G,283,1185,0.8,70,50.7,0.1,,,,0.08,0.2,,Food,Solid,Jam,Cherry,,sodium_derived_from_salt
all_categories_combined,3704,1,Carrefour Spicy Nacho Tortilla Chips 180G,CARREFOUR SPICY NACHO TORTILLA CHIPS,Pack size : 180g,Average Nutritional Value As Per 100g,PER_100G,489,2045.98,5.8,70,28,21,,,4.5,0.842,2.105,,Tortilla Chips,Solid,Food,Nacho Cheese,,salt_derived_from_sodium
all_categories_combined,85,1,Carrefour Stick And Choc White Chocolate Finger Biscuits 125g,CARREFOUR STICK AND CHOC WHITE CHOCOLATE FINGER BISCUITS,Pack size : 125g,Average Nutritional Value As Per 100g,PER_100G,525,2195,6.6,61,38,28,,,1.2,0.16,0.4,,Biscuits,Solid,Food,White Chocolate,,sodium_derived_from_salt
all_categories_combined,2790|2791|2796,3,Carrefour Strawberry Jam 380G,CARREFOUR STRAWBERRY JAM,,Average Nutritional Value As Per 100g,PER_100G,283,1185,2.5,68,53,0.1,,,,,,,Food,Solid,Jam,Strawberry,,missing_sodium
all_categories_combined,4231,1,Carrefour Tomato Ketchup Potato Chips 170G,CARREFOUR TOMATO KETCHUP POTATO CHIPS,Pack size : 170g,Average Nutritional Value As Per 100g,PER_100G,545,2280.28,8.7,51,2.7,34,,,3.9,0.396,0.99,,Potato Chips,Solid,Food,Tomato Ketchup,,salt_derived_from_sodium
all_categories_combined,2397,1,Carrefour Tomato Olive Cooking Sauce 420g,CARREFOUR TOMATO OLIVE COOKING SAUCE,Pack size : 420g,Average Nutritional Value As Per 100g,PER_100G,59,249,1.6,7.4,5.7,2.1,,,,0.44,1.1,,Cooking Sauce,Paste,Food,"Tomato, Olive",,sodium_derived_from_salt
all_categories_combined,2326,1,Carrefour Tomato Paste 370g,CARREFOUR TOMATO PASTE,Pack size : 370g,Average Nutritional Value As Per 100g,PER_100G,92,384.928,4.4,18,13,,,,3.9,0.82,2.05,,Tomato Paste,Paste,Food,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,2334,1,Carrefour Tomato Puree 500g,CARREFOUR TOMATO PUREE,Pack size : 500g,Average Nutritional Value As Per 100g,PER_100G,34,145,1,5,5,0,,,,0,0,,Tomato Puree,Paste,Food,,,sodium_derived_from_salt
all_categories_combined,3293,1,Carrefour White Flakes Oats 500g,CARREFOUR WHITE FLAKES OATS,Pack size : 500g,Average Nutritional Value As Per 100g,PER_100G,385,1610,12.4,66,,8.13,,,4,,,,Oats,Solid,Food,,,missing_sodium|missing_sugar
all_categories_combined,1511,1,Carrefour White Vinegar Pet 946Ml,CARREFOUR WHITE VINEGAR PET,Pack size : 946ml,Average Nutritional Value As Per 100g,PER_100G,89,362,0.01,1.2,1.2,,,,,5e-05,0.000125,,Vinegar,Liquid,Food,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,83,1,Carrefour Xtrem Chocolate Hazelnut Filled Biscuits 225g,CARREFOUR XTREM CHOCOLATE HAZELNUT FILLED BISCUITS,Pack size : 225g,Average Nutritional Value As Per 100g,PER_100G,493,2065,7,63,38,23,,,3,0.16,0.4,,Biscuits,Solid,Food,"Hazelnut, Cocoa",,sodium_derived_from_salt
